id	x	y	distance	vx	vy
1447	816.5025774755379	726.1210213088228	5.236140862025515	814.3202628029584	721.3613286930316
1448	860.7895800110477	725.3317731196921	32.10634792895843	851.5038364469291	756.0659974274042
1449	904.7726239110874	741.7545181457792	7.728362233035911	906.6594706854856	749.2490089260097
1450	834.8839013669112	663.1486386517881	14.294865835383167	847.785479082532	669.3043255914727
1451	828.6691208475903	718.6141360040444	13.731752939356046	814.9399890303579	718.8824237834336
1452	837.631728421328	722.4728345204101	22.813198842605242	814.9399890303579	720.1218762382326
1453	853.1073658609901	728.6700967944051	27.442789181767193	851.5038364469291	756.0659974274042
1454	826.5467781067804	661.6110344450669	10.153481345113393	816.7991677125565	658.768979725681
1455	845.4309097971397	672.1463803108586	2.848215325106542	847.785479082532	670.5437780462717
1456	833.322825639294	707.9209795382991	16.288607140799872	819.2780726221545	699.6709107340487
1457	842.601200804961	737.6678384534757	18.95593281926983	847.1657528551325	756.0659974274042
1458	854.066136011852	667.936926509253	3.2276553004269815	853.9827413565272	671.1635042736712
1459	842.8935456733351	684.6695346490399	12.071809430245647	831.0528709427452	682.3185763668624
1460	839.1517655853827	697.2044003489987	15.908955503593708	829.1936922605466	684.7974812764604
1461	820.232597404372	695.0353585531003	3.527692008923004	819.2780726221545	698.4314582792497
1462	935.6265968929758	616.8697286672666	0.4100965357510686	935.7866033732627	617.2473224899137
1463	958.538949061432	643.2080933317459	15.654183379532373	968.0123671980373	655.6703485886834
1464	950.4590853816832	561.2347093532792	13.007910934889685	937.6457820554613	558.9930571143595
1465	1032.5552922667928	610.1930813178406	10.433863209391617	1025.6469063461918	602.3738930323253
1466	939.116973081435	632.6025768899699	0.2696655887500423	938.8852345102603	632.7404781749015
1467	1001.6918038034601	556.0663878061301	17.758672863717027	1019.4496440721967	555.894425977362
1468	968.8228910277306	638.9401803159335	11.033835020246856	979.7871655186281	640.1771929036956
1469	1046.2711512073438	615.3905836747521	14.752515362466179	1060.971301307964	614.1486913529161
1470	945.9631423925922	638.1918242983431	8.422914060373476	940.1246869650593	632.120751947502
1471	976.9319355172421	560.7260458734041	39.324357640800294	937.6457820554613	558.9930571143595
1472	986.8241324320791	620.3601048557258	14.860906432041093	986.6041540200226	635.2193830844996
1473	1028.9479976499201	600.8387286926412	2.70087096446883	1026.2666325735913	600.5147143501268
1474	861.3120531383522	678.912521983202	7.130100450218712	861.4194560853213	671.7832305010706
1475	957.9718263673503	632.4330549282387	16.680024300869995	941.3641394198582	630.881299492703
1476	974.6810117835819	621.1084608733163	17.332094162887007	984.7449753378241	635.2193830844996
1477	1020.52323436582	616.46051416782	14.612325493835842	1024.4074538913928	602.3738930323253
1478	1036.5367160951198	595.9978373018585	9.185640531297762	1027.5060850283903	594.3174520761318
1479	1084.2381173595566	652.392923995214	8.268956930924722	1090.7181602231406	657.5295272708819
1480	1079.5667479305048	636.1105201210955	11.443078666200119	1080.182814357349	624.6840372187078
1481	1085.1267657317749	607.2932505470183	12.380476670015561	1081.4222668121479	619.1065011721122
1482	1035.9988718054822	538.6029906914193	15.168785512034493	1025.0271801187923	549.0774374759674
1483	1031.33340685466	683.618927902905	11.471514707698205	1020.6890965269957	687.896112413458
1484	1072.8316413668722	631.3924028396149	9.951980387826458	1080.182814357349	624.6840372187078
1485	1118.98372706281	584.9129357846515	5.583952389394425	1114.267756864322	581.9229275281415
1486	1053.380386982431	510.41715870651916	10.429410446749147	1042.9992407133782	509.4149589223986
1487	1125.5609742291485	563.0938880354777	3.958021584790258	1125.4228289575133	567.0494980705532
1488	1079.3679475643296	657.7424788658718	10.193162998500025	1087.619529086143	663.7267895448771
1489	1079.0405662053042	614.6715060616057	4.5797284276544366	1080.182814357349	619.1065011721122
1490	1061.6882318381179	512.095104065209	16.049293252749568	1077.703909447751	513.1333162867957
1491	1115.2770322628498	557.3351186653732	12.169869168136836	1121.7044715931163	567.6692242979527
1492	1055.4500285952417	690.0968724808373	7.878603056810336	1062.8304799901625	692.8539222326541
1493	1144.9829502091454	589.7012236421165	13.35858367061769	1145.2540682342976	576.3453914815459
1494	888.8606406505272	679.6608780007925	26.57511838516432	863.8983609949194	670.5437780462717
1495	944.3086197574578	605.9134569402506	7.90431254583637	936.4063296006622	606.0922503967224
1496	1014.9339869574469	560.1940572646554	4.672639568702202	1019.4496440721967	558.9930571143595
1497	1013.0572900299226	655.3220331704804	17.223784772426942	1000.2381310228119	666.8254206818746
1498	943.4784305994461	685.4781065851035	24.849600204734795	960.5756524692431	667.4451469092741
1499	951.2074901966143	627.5337043232493	9.88160803117756	941.3641394198582	628.4023945831049
1500	957.0714666333545	672.6041969616824	6.236594889496763	960.5756524692431	667.4451469092741
1501	1011.8997195128856	648.7447372068012	18.939449257958987	994.0408687488168	655.0506223612839
1502	936.0708966804145	696.9547531537722	33.11781495228087	934.5471509184637	730.0374958766248
1503	980.6736668078537	651.4048754399081	5.511385926833661	980.4068917460276	656.9098010434824
1504	967.6359933089087	663.3200149124674	0.3233709052321196	967.3926409706378	663.1070633174776
1505	1012.2387634363479	638.2211027027871	15.817465827188453	996.5197736584148	636.4588355392985
1506	933.8433956703096	706.9990025823554	23.038646534604105	933.9274246910642	730.0374958766248
1507	995.7985001649351	617.1386996094261	17.461252528164803	995.9000474310153	634.5996568571
1508	1007.8597388756704	613.8705465106974	20.149439531742114	1024.4074538913928	602.3738930323253
1509	1000.0956427878507	664.9979602711571	1.6315490667335057	998.9986785680129	666.2056944544751
1510	1072.8140743242056	515.3223649923974	4.900949068068022	1077.703909447751	514.9924949689943
1511	1093.2475215830639	531.1253837910849	10.854176205692651	1090.7181602231406	520.5700310155898
1512	1015.1385942071702	660.7885064695515	16.07694424682017	1000.2381310228119	666.8254206818746
1513	1096.92493797858	639.4079516242683	16.998563818194853	1101.8732323163317	655.6703485886834
1514	1045.6280022563892	600.464550683846	19.13610998378212	1027.5060850283903	594.3174520761318
1515	1114.4000952524093	565.1401557220738	7.389144459982631	1121.0847453657166	568.2889505253522
1516	1067.277479246491	669.7043661908601	16.62514400800777	1083.9011717217459	669.9240518188722
1517	1149.6835492453004	611.7599639290057	11.358040396368864	1160.7472239192855	609.19088153372
1518	1059.291160068941	604.1946194100207	8.875103796879001	1060.971301307964	612.9092388981171
1519	1090.259953193591	586.2225588154348	15.378604576968325	1105.591589680729	585.0215586651391
