id,x,y,class,distance,vx,vy
93,3434.828125,567.078125,0,352.79279243563246,3787,588
94,2538.640625,566.0078125,0,271.44135731576677,2689,792
95,3809.059829,568.9273505,5,0.929278461544873,3809,568
96,2090.25,569.75,5,0.7905694150420949,2090,569
97,3798.720339,569.8502825,5,0.3172153916934893,3799,570
98,2537.409722,572.034722,0,267.1410412305354,2689,792
99,2095.9615385,572.3397435,5,0.3419136335019742,2096,572
100,2103.5686695,573.049356,5,0.434145154258687,2104,573
101,4420.8773585,573.13522,0,242.07854262901108,4513,797
102,3431.0,572.5,0,356.33727001255426,3787,588
103,2120.596875,574.540625,7,6.146526267433656,2115,572
104,2171.655702,574.5679825,6,49.2505938261978,2124,587
105,3818.2698865,574.9261365,5,3.5273119424731725,3820,578
106,2724.675926,576.1141975,7,177.72937055823527,2878,666
107,3669.1785715,576.0982145,0,118.42103492145557,3787,588
108,2973.0162035,576.747685,0,102.95236246154147,2920,665
109,3197.207641,577.5930235,7,286.84220016527627,2926,671
110,4914.0700935,578.8364485,0,189.34874594301374,4859,760
111,3801.5614405,578.4851695,5,0.6540060234970175,3802,578
112,2257.227941,578.3566175,0,133.5080234448133,2124,587
113,2884.9615385,579.012238,0,84.47270536721089,2894,663
114,2916.566978,578.9376945,2,84.13794945224069,2913,663
115,3181.408805,578.974843,0,271.48165166803204,2926,671
116,5184.309525,582.0190475,7,186.98120869096138,5184,769
117,4389.477612,581.921642,0,248.02516085510112,4513,797
118,2134.84019,583.517405,0,11.385876653561741,2124,587
119,3118.0151515,583.6848485,2,210.93542634426254,2926,671
120,4083.6534655,583.351485,0,172.62293979614913,3938,676
121,3831.3287195,583.5934255,5,0.522837769992184,3831,584
122,5033.005265,583.4578945,7,177.1024068726717,5003,758
123,2167.2560975,585.5609755,2,43.28002729251816,2124,587
124,3794.97807,586.355263,5,0.35593921400854484,3795,586
125,4466.6402115,586.9867725,0,215.06925794899527,4513,797
126,3483.45189,594.121993,0,303.6098382511085,3787,588
127,2115.4834335,584.8478915,5,0.506798722072739,2115,585
128,2259.9814815,587.037037,0,135.98148654384613,2124,587
